Order	Suborder	Family	Species	MYA	Actual MYA	5Mya_SD_oxy	5Mya_M_oxy	5Mya_slope_oxy	5Mya_SD_carbon	5Mya_M_carbon	5Mya_slope_carbon	1Mya_SD_oxy	1Mya_M_oxy	1Mya_slope_oxy	1Mya_SD_carbon	1Mya_M_carbon	1Mya_slope_carbon	400k_SD_oxy	400k_M_oxy	400k_slope_oxy	400k_SD_carbon	400k_M_carbon	400k_slope_carbon	200K_SD_oxy	200K_M_oxy	200K_slope_oxy	200K_SD_carbon	200K_M_carbon	200K_slope_carbon	100k_SD_oxy	100k_M_oxy	100k_slope_oxy	100k_SD_carbon	100k_M_carbon	100k_slope_carbon	40k_SD_oxy	40k_M_oxy	40k_slope_oxy	40k_SD_carbon	40k_M_carbon	40k_slope_carbon	CC	mass	EQ	Fossil	Social
Carnivora	Cynoidea	Canidae	Lycaon pictus	-2.5	-2.5	0.299	3.084	0.133	0.558	0.059	-0.115	0.305	3.324	0.557	0.485	0.009	0.071	0.294	3.498	0.749	0.526	0.033	-0.563	0.317	3.561	1.235	0.541	-0.007	-1.216	0.327	3.597	5.488	0.571	-0.035	-6.074	0.322	3.832	-5.533	0.55	-0.338	15.992	129	22.05	1.1	No	Stable
Carnivora	Cynoidea	Canidae	Pseudalopex culpaeus	-2.5	-2.5	0.299	3.084	0.133	0.558	0.059	-0.115	0.305	3.324	0.557	0.485	0.009	0.071	0.294	3.498	0.749	0.526	0.033	-0.563	0.317	3.561	1.235	0.541	-0.007	-1.216	0.327	3.597	5.488	0.571	-0.035	-6.074	0.322	3.832	-5.533	0.55	-0.338	15.992	51.5	9.83	0.81	No	Facultative
Carnivora	Cynoidea	Canidae	Pseudalopex  gymnocercus	-2.5	-2.5	0.299	3.084	0.133	0.558	0.059	-0.115	0.305	3.324	0.557	0.485	0.009	0.071	0.294	3.498	0.749	0.526	0.033	-0.563	0.317	3.561	1.235	0.541	-0.007	-1.216	0.327	3.597	5.488	0.571	-0.035	-6.074	0.322	3.832	-5.533	0.55	-0.338	15.992	40	4.69	1.1	No	Solitary
Carnivora	Cynoidea	Canidae	Speothos venaticus	-2.5	-2.5	0.299	3.084	0.133	0.558	0.059	-0.115	0.305	3.324	0.557	0.485	0.009	0.071	0.294	3.498	0.749	0.526	0.033	-0.563	0.317	3.561	1.235	0.541	-0.007	-1.216	0.327	3.597	5.488	0.571	-0.035	-6.074	0.322	3.832	-5.533	0.55	-0.338	15.992	40.45	6	0.92	No	Stable
Carnivora	Feliformes	Felidae	Panthera atrox	-3	-3	0.243	3.013	0.086	0.568	0.071	-0.176	0.228	3.13	0.184	0.37	-0.07	0.304	0.243	3.204	-0.196	0.459	0.038	0.018	0.215	3.198	0.834	0.459	-0.013	-1.463	0.207	3.205	4.072	0.457	-0.055	-1.302	0.193	3.327	6.18	0.467	-0.052	4.309	459.87	206.38	0.71	Yes	N/A
Carnivora	Feliformes	Felidae	Panthera augusta	-3	-3	0.243	3.013	0.086	0.568	0.071	-0.176	0.228	3.13	0.184	0.37	-0.07	0.304	0.243	3.204	-0.196	0.459	0.038	0.018	0.215	3.198	0.834	0.459	-0.013	-1.463	0.207	3.205	4.072	0.457	-0.055	-1.302	0.193	3.327	6.18	0.467	-0.052	4.309	272.66	96.77	0.75	Yes	N/A
Carnivora	Feliformes	Felidae	Panthera leo	-3	-3	0.243	3.013	0.086	0.568	0.071	-0.176	0.228	3.13	0.184	0.37	-0.07	0.304	0.243	3.204	-0.196	0.459	0.038	0.018	0.215	3.198	0.834	0.459	-0.013	-1.463	0.207	3.205	4.072	0.457	-0.055	-1.302	0.193	3.327	6.18	0.467	-0.052	4.309	223.63	161.5	0.42	No	Stable
Carnivora	Feliformes	Felidae	Panthera onca	-3	-3	0.243	3.013	0.086	0.568	0.071	-0.176	0.228	3.13	0.184	0.37	-0.07	0.304	0.243	3.204	-0.196	0.459	0.038	0.018	0.215	3.198	0.834	0.459	-0.013	-1.463	0.207	3.205	4.072	0.457	-0.055	-1.302	0.193	3.327	6.18	0.467	-0.052	4.309	151.41	100	0.41	No	Solitary
Carnivora	Feliformes	Felidae	Panthera pardus	-3	-3	0.243	3.013	0.086	0.568	0.071	-0.176	0.228	3.13	0.184	0.37	-0.07	0.304	0.243	3.204	-0.196	0.459	0.038	0.018	0.215	3.198	0.834	0.459	-0.013	-1.463	0.207	3.205	4.072	0.457	-0.055	-1.302	0.193	3.327	6.18	0.467	-0.052	4.309	125.21	52.04	0.55	Yes	N/A
Carnivora	Feliformes	Felidae	Panthera tigris	-3	-3	0.243	3.013	0.086	0.568	0.071	-0.176	0.228	3.13	0.184	0.37	-0.07	0.304	0.243	3.204	-0.196	0.459	0.038	0.018	0.215	3.198	0.834	0.459	-0.013	-1.463	0.207	3.205	4.072	0.457	-0.055	-1.302	0.193	3.327	6.18	0.467	-0.052	4.309	278.66	162.56	0.52	No	Solitary
Carnivora	Feliformes	Felidae	Puma concolor	-3.25	-3.25	0.24	2.998	0.079	0.575	0.075	-0.221	0.219	3.096	0.213	0.298	-0.118	-0.052	0.237	3.156	0.551	0.303	-0.127	0.516	0.239	3.244	0.167	0.336	-0.119	2.857	0.268	3.265	-4.11	0.392	0.02	5.84	0.221	3.066	-0.676	0.29	0.213	-2.389	125.21	51.6	0.56	No	Solitary
Carnivora	Feliformes	Felidae	Lynx issiodorensis	-3.5	-3.5	0.23	2.978	0.065	0.591	0.102	-0.248	0.194	3.034	0.155	0.297	-0.111	-0.094	0.199	3.067	0.141	0.201	-0.155	0.192	0.204	3.099	-1.082	0.216	-0.153	0.642	0.129	3.046	-1.77	0.191	-0.114	-0.748	0.102	2.981	2.661	0.231	-0.122	5.486	96.18	30	0.65	Yes	N/A
Carnivora	Feliformes	Felidae	Lynx lynx	-3.5	-3.5	0.23	2.978	0.065	0.591	0.102	-0.248	0.194	3.034	0.155	0.297	-0.111	-0.094	0.199	3.067	0.141	0.201	-0.155	0.192	0.204	3.099	-1.082	0.216	-0.153	0.642	0.129	3.046	-1.77	0.191	-0.114	-0.748	0.102	2.981	2.661	0.231	-0.122	5.486	70.11	17.95	0.7	No	Solitary
Carnivora	Feliformes	Felidae	Lynx rufus	-3.5	-3.5	0.23	2.978	0.065	0.591	0.102	-0.248	0.194	3.034	0.155	0.297	-0.111	-0.094	0.199	3.067	0.141	0.201	-0.155	0.192	0.204	3.099	-1.082	0.216	-0.153	0.642	0.129	3.046	-1.77	0.191	-0.114	-0.748	0.102	2.981	2.661	0.231	-0.122	5.486	57.97	8.9	0.98	No	Solitary
Carnivora	Feliformes	Felidae	Lynx shansius	-3.5	-3.5	0.23	2.978	0.065	0.591	0.102	-0.248	0.194	3.034	0.155	0.297	-0.111	-0.094	0.199	3.067	0.141	0.201	-0.155	0.192	0.204	3.099	-1.082	0.216	-0.153	0.642	0.129	3.046	-1.77	0.191	-0.114	-0.748	0.102	2.981	2.661	0.231	-0.122	5.486	68.32	21.72	0.59	Yes	N/A
Carnivora	Feliformes	Felidae	Neofelis nebulosa	-3.5	-3.5	0.23	2.978	0.065	0.591	0.102	-0.248	0.194	3.034	0.155	0.297	-0.111	-0.094	0.199	3.067	0.141	0.201	-0.155	0.192	0.204	3.099	-1.082	0.216	-0.153	0.642	0.129	3.046	-1.77	0.191	-0.114	-0.748	0.102	2.981	2.661	0.231	-0.122	5.486	68.71	19.68	0.64	No	Solitary
Carnivora	Cynoidea	Canidae	Nyctereutes donnezani	-4	-4	0.232	2.959	0.063	0.629	0.155	-0.295	0.205	3.037	-0.046	0.41	-0.164	0.229	0.186	3.01	0.481	0.372	-0.043	0.399	0.189	3.053	1.184	0.358	0.006	-0.372	0.174	3.132	0.949	0.259	-0.011	-2.325	0.228	3.125	7.413	0.212	-0.068	-9.519	53.45	8	0.98	Yes	N/A
Carnivora	Cynoidea	Canidae	Nyctereutes  procyonoides	-4	-4	0.232	2.959	0.063	0.629	0.155	-0.295	0.205	3.037	-0.046	0.41	-0.164	0.229	0.186	3.01	0.481	0.372	-0.043	0.399	0.189	3.053	1.184	0.358	0.006	-0.372	0.174	3.132	0.949	0.259	-0.011	-2.325	0.228	3.125	7.413	0.212	-0.068	-9.519	28.5	4.04	0.88	No	Stable
Carnivora	Feliformes	Felidae	Acinonyx jubatus	-4	-4	0.232	2.959	0.063	0.629	0.155	-0.295	0.205	3.037	-0.046	0.41	-0.164	0.229	0.186	3.01	0.481	0.372	-0.043	0.399	0.189	3.053	1.184	0.358	0.006	-0.372	0.174	3.132	0.949	0.259	-0.011	-2.325	0.228	3.125	7.413	0.212	-0.068	-9.519	111.05	50	0.51	No	Facultative
Carnivora	Feliformes	Felidae	Caracal caracal	-4	-4	0.232	2.959	0.063	0.629	0.155	-0.295	0.205	3.037	-0.046	0.41	-0.164	0.229	0.186	3.01	0.481	0.372	-0.043	0.399	0.189	3.053	1.184	0.358	0.006	-0.372	0.174	3.132	0.949	0.259	-0.011	-2.325	0.228	3.125	7.413	0.212	-0.068	-9.519	55.15	13.75	0.67	No	Solitary
Carnivora	Feliformes	Felidae	Leptailurus serval	-4	-4	0.232	2.959	0.063	0.629	0.155	-0.295	0.205	3.037	-0.046	0.41	-0.164	0.229	0.186	3.01	0.481	0.372	-0.043	0.399	0.189	3.053	1.184	0.358	0.006	-0.372	0.174	3.132	0.949	0.259	-0.011	-2.325	0.228	3.125	7.413	0.212	-0.068	-9.519	56.8	12	0.77	No	Solitary
Carnivora	Arctoidea	Mephitidae	Conepatus chinga	-4.5	-4.5	0.241	2.939	0.065	0.679	0.252	-0.315	0.245	2.976	0.367	0.591	-0.041	-0.672	0.207	3.088	-0.133	0.379	-0.261	-0.145	0.169	3.08	-0.375	0.392	-0.306	0.422	0.16	3.067	-1.52	0.384	-0.29	1.296	0.174	2.993	0.366	0.375	-0.254	-2.891	14.78	1.92	0.8	No	Solitary
Carnivora	Arctoidea	Mephitidae	Conepatus humboldtii	-4.5	-4.5	0.241	2.939	0.065	0.679	0.252	-0.315	0.245	2.976	0.367	0.591	-0.041	-0.672	0.207	3.088	-0.133	0.379	-0.261	-0.145	0.169	3.08	-0.375	0.392	-0.306	0.422	0.16	3.067	-1.52	0.384	-0.29	1.296	0.174	2.993	0.366	0.375	-0.254	-2.891	12.57	1.32	0.91	No	Solitary
Carnivora	Arctoidea	Mephitidae	Conepatus leuconotus	-4.5	-4.5	0.241	2.939	0.065	0.679	0.252	-0.315	0.245	2.976	0.367	0.591	-0.041	-0.672	0.207	3.088	-0.133	0.379	-0.261	-0.145	0.169	3.08	-0.375	0.392	-0.306	0.422	0.16	3.067	-1.52	0.384	-0.29	1.296	0.174	2.993	0.366	0.375	-0.254	-2.891	14.44	3.5	0.5	No	Solitary
Carnivora	Arctoidea	Mephitidae	Conepatus mesoleucus	-4.5	-4.5	0.241	2.939	0.065	0.679	0.252	-0.315	0.245	2.976	0.367	0.591	-0.041	-0.672	0.207	3.088	-0.133	0.379	-0.261	-0.145	0.169	3.08	-0.375	0.392	-0.306	0.422	0.16	3.067	-1.52	0.384	-0.29	1.296	0.174	2.993	0.366	0.375	-0.254	-2.891	15.5	2.01	0.81	No	Solitary
Carnivora	Arctoidea	Mephitidae	Conepatus  sanmiguelensis	-4.5	-4.5	0.241	2.939	0.065	0.679	0.252	-0.315	0.245	2.976	0.367	0.591	-0.041	-0.672	0.207	3.088	-0.133	0.379	-0.261	-0.145	0.169	3.08	-0.375	0.392	-0.306	0.422	0.16	3.067	-1.52	0.384	-0.29	1.296	0.174	2.993	0.366	0.375	-0.254	-2.891	16.55	3.37	0.59	No	Solitary
Carnivora	Arctoidea	Mephitidae	Conepatus semistriatus	-4.5	-4.5	0.241	2.939	0.065	0.679	0.252	-0.315	0.245	2.976	0.367	0.591	-0.041	-0.672	0.207	3.088	-0.133	0.379	-0.261	-0.145	0.169	3.08	-0.375	0.392	-0.306	0.422	0.16	3.067	-1.52	0.384	-0.29	1.296	0.174	2.993	0.366	0.375	-0.254	-2.891	18.92	2.04	0.98	No	Solitary
Carnivora	Arctoidea	Mephitidae	Mephitis macroura	-4.5	-4.5	0.241	2.939	0.065	0.679	0.252	-0.315	0.245	2.976	0.367	0.591	-0.041	-0.672	0.207	3.088	-0.133	0.379	-0.261	-0.145	0.169	3.08	-0.375	0.392	-0.306	0.422	0.16	3.067	-1.52	0.384	-0.29	1.296	0.174	2.993	0.366	0.375	-0.254	-2.891	10.07	1.03	0.88	No	Facultative
Carnivora	Arctoidea	Mephitidae	Mephitis mephitis	-4.5	-4.5	0.241	2.939	0.065	0.679	0.252	-0.315	0.245	2.976	0.367	0.591	-0.041	-0.672	0.207	3.088	-0.133	0.379	-0.261	-0.145	0.169	3.08	-0.375	0.392	-0.306	0.422	0.16	3.067	-1.52	0.384	-0.29	1.296	0.174	2.993	0.366	0.375	-0.254	-2.891	10.28	2.09	0.52	No	Facultative
Carnivora	Arctoidea	Mephitidae	Spilogale putorius	-4.5	-4.5	0.241	2.939	0.065	0.679	0.252	-0.315	0.245	2.976	0.367	0.591	-0.041	-0.672	0.207	3.088	-0.133	0.379	-0.261	-0.145	0.169	3.08	-0.375	0.392	-0.306	0.422	0.16	3.067	-1.52	0.384	-0.29	1.296	0.174	2.993	0.366	0.375	-0.254	-2.891	5	0.34	1.01	No	Facultative
Carnivora	Cynoidea	Canidae	Cerdocyon thous	-4.5	-4.5	0.241	2.939	0.065	0.679	0.252	-0.315	0.245	2.976	0.367	0.591	-0.041	-0.672	0.207	3.088	-0.133	0.379	-0.261	-0.145	0.169	3.08	-0.375	0.392	-0.306	0.422	0.16	3.067	-1.52	0.384	-0.29	1.296	0.174	2.993	0.366	0.375	-0.254	-2.891	41.8	5.24	1.06	No	Stable
Carnivora	Feliformes	Felidae	Herpailurus yagourundi	-4.5	-4.5	0.241	2.939	0.065	0.679	0.252	-0.315	0.245	2.976	0.367	0.591	-0.041	-0.672	0.207	3.088	-0.133	0.379	-0.261	-0.145	0.169	3.08	-0.375	0.392	-0.306	0.422	0.16	3.067	-1.52	0.384	-0.29	1.296	0.174	2.993	0.366	0.375	-0.254	-2.891	40.04	7.87	0.74	No	Solitary
Carnivora	Feliformes	Felidae	Uncia uncia	-4.9	-4.9	0.237	2.891	0.051	0.68	0.387	-0.273	0.232	2.949	-0.18	0.637	0.042	0.214	0.208	2.901	0.493	0.68	0.078	-0.894	0.218	2.952	1.079	0.632	0.017	-2.536	0.223	2.985	2.933	0.526	-0.105	-5.174	0.171	3.089	-2.145	0.34	-0.295	5.196	101.49	44.17	0.51	No	Solitary
Carnivora	Arctoidea	Ursidae	Helarctos malayanus	-5	-5	0.238	2.885	0.05	0.678	0.415	-0.267	0.233	2.953	-0.289	0.637	0.067	0.296	0.189	2.855	0.226	0.696	0.191	-0.474	0.205	2.88	0.176	0.734	0.108	0.999	0.213	2.892	-0.786	0.722	0.19	3.54	0.254	2.848	0.378	0.662	0.278	7.135	345.25	46.5	1.66	No	Solitary
Carnivora	Arctoidea	Ursidae	Melursus ursinus	-5	-5	0.238	2.885	0.05	0.678	0.415	-0.267	0.233	2.953	-0.289	0.637	0.067	0.296	0.189	2.855	0.226	0.696	0.191	-0.474	0.205	2.88	0.176	0.734	0.108	0.999	0.213	2.892	-0.786	0.722	0.19	3.54	0.254	2.848	0.378	0.662	0.278	7.135	304.9	93.13	0.87	No	Solitary
Carnivora	Arctoidea	Ursidae	Ursus americanus	-5	-5	0.238	2.885	0.05	0.678	0.415	-0.267	0.233	2.953	-0.289	0.637	0.067	0.296	0.189	2.855	0.226	0.696	0.191	-0.474	0.205	2.88	0.176	0.734	0.108	0.999	0.213	2.892	-0.786	0.722	0.19	3.54	0.254	2.848	0.378	0.662	0.278	7.135	259.82	99.95	0.7	No	Facultative
Carnivora	Arctoidea	Ursidae	Ursus arctos	-5	-5	0.238	2.885	0.05	0.678	0.415	-0.267	0.233	2.953	-0.289	0.637	0.067	0.296	0.189	2.855	0.226	0.696	0.191	-0.474	0.205	2.88	0.176	0.734	0.108	0.999	0.213	2.892	-0.786	0.722	0.19	3.54	0.254	2.848	0.378	0.662	0.278	7.135	338.3	172.72	0.6	No	Facultative
Carnivora	Arctoidea	Ursidae	Ursus deningeri	-5	-5	0.238	2.885	0.05	0.678	0.415	-0.267	0.233	2.953	-0.289	0.637	0.067	0.296	0.189	2.855	0.226	0.696	0.191	-0.474	0.205	2.88	0.176	0.734	0.108	0.999	0.213	2.892	-0.786	0.722	0.19	3.54	0.254	2.848	0.378	0.662	0.278	7.135	378	153.83	0.73	Yes	N/A
Carnivora	Arctoidea	Ursidae	Ursus maritimus	-5	-5	0.238	2.885	0.05	0.678	0.415	-0.267	0.233	2.953	-0.289	0.637	0.067	0.296	0.189	2.855	0.226	0.696	0.191	-0.474	0.205	2.88	0.176	0.734	0.108	0.999	0.213	2.892	-0.786	0.722	0.19	3.54	0.254	2.848	0.378	0.662	0.278	7.135	459.44	388.75	0.44	No	Solitary
Carnivora	Arctoidea	Ursidae	Ursus spelaeus	-5	-5	0.238	2.885	0.05	0.678	0.415	-0.267	0.233	2.953	-0.289	0.637	0.067	0.296	0.189	2.855	0.226	0.696	0.191	-0.474	0.205	2.88	0.176	0.734	0.108	0.999	0.213	2.892	-0.786	0.722	0.19	3.54	0.254	2.848	0.378	0.662	0.278	7.135	652.59	300	0.76	Yes	N/A
Carnivora	Arctoidea	Ursidae	Ursus thibetanus	-5	-5	0.238	2.885	0.05	0.678	0.415	-0.267	0.233	2.953	-0.289	0.637	0.067	0.296	0.189	2.855	0.226	0.696	0.191	-0.474	0.205	2.88	0.176	0.734	0.108	0.999	0.213	2.892	-0.786	0.722	0.19	3.54	0.254	2.848	0.378	0.662	0.278	7.135	314.19	77.5	1.03	No	Facultative
Carnivora	Cynoidea	Canidae	Urocyon  cinereoargenteus	-5	-5	0.238	2.885	0.05	0.678	0.415	-0.267	0.233	2.953	-0.289	0.637	0.067	0.296	0.189	2.855	0.226	0.696	0.191	-0.474	0.205	2.88	0.176	0.734	0.108	0.999	0.213	2.892	-0.786	0.722	0.19	3.54	0.254	2.848	0.378	0.662	0.278	7.135	40.85	3.83	1.31	No	Stable
Carnivora	Cynoidea	Canidae	Urocyon littoralis	-5	-5	0.238	2.885	0.05	0.678	0.415	-0.267	0.233	2.953	-0.289	0.637	0.067	0.296	0.189	2.855	0.226	0.696	0.191	-0.474	0.205	2.88	0.176	0.734	0.108	0.999	0.213	2.892	-0.786	0.722	0.19	3.54	0.254	2.848	0.378	0.662	0.278	7.135	27.66	1.9	1.51	No	Stable
Carnivora	Feliformes	Hyaenidae	Hyaena hyaena	-5	-5	0.238	2.885	0.05	0.678	0.415	-0.267	0.233	2.953	-0.289	0.637	0.067	0.296	0.189	2.855	0.226	0.696	0.191	-0.474	0.205	2.88	0.176	0.734	0.108	0.999	0.213	2.892	-0.786	0.722	0.19	3.54	0.254	2.848	0.378	0.662	0.278	7.135	97.51	41.71	0.51	No	Facultative
Carnivora	Feliformes	Hyaenidae	Hyaena_brunnea	-5	-5	0.238	2.885	0.05	0.678	0.415	-0.267	0.233	2.953	-0.289	0.637	0.067	0.296	0.189	2.855	0.226	0.696	0.191	-0.474	0.205	2.88	0.176	0.734	0.108	0.999	0.213	2.892	-0.786	0.722	0.19	3.54	0.254	2.848	0.378	0.662	0.278	7.135	106.7	32.2	0.68	No	Stable
Carnivora	Arctoidea	Mustelidae	Mellivora capensis	-5.3	-5.3	0.244	2.884	0.062	0.663	0.467	-0.271	0.233	2.971	-0.095	0.612	0.098	-0.196	0.252	2.92	-0.775	0.605	0.145	0.738	0.271	2.825	-0.068	0.625	0.213	1.79	0.169	2.825	0.263	0.615	0.31	2.044	0.169	2.81	2.967	0.531	0.37	-0.307	72.97	8.5	1.28	No	Solitary
Carnivora	Feliformes	Felidae	Dinofelis pivateau	-5.3	-5.3	0.244	2.884	0.062	0.663	0.467	-0.271	0.233	2.971	-0.095	0.612	0.098	-0.196	0.252	2.92	-0.775	0.605	0.145	0.738	0.271	2.825	-0.068	0.625	0.213	1.79	0.169	2.825	0.263	0.615	0.31	2.044	0.169	2.81	2.967	0.531	0.37	-0.307	153.68	259.82	0.2	Yes	N/A
Carnivora	Arctoidea	Ursidae	Arctodus simus	-6	-6	0.225	2.786	0.051	0.483	0.812	-0.155	0.217	2.85	0.264	0.516	0.582	-0.889	0.213	2.893	0.651	0.581	0.406	-2.627	0.197	2.935	0.833	0.585	0.227	-3.706	0.173	2.947	0.856	0.531	0.129	-1.559	0.164	2.978	-0.683	0.505	0.09	3.16	683.11	328.47	0.74	Yes	N/A
Carnivora	Arctoidea	Ursidae	Tremarctos floridanus	-6	-6	0.225	2.786	0.051	0.483	0.812	-0.155	0.217	2.85	0.264	0.516	0.582	-0.889	0.213	2.893	0.651	0.581	0.406	-2.627	0.197	2.935	0.833	0.585	0.227	-3.706	0.173	2.947	0.856	0.531	0.129	-1.559	0.164	2.978	-0.683	0.505	0.09	3.16	314.65	150	0.62	Yes	N/A
Carnivora	Arctoidea	Ursidae	Tremarctos ornatus	-6	-6	0.225	2.786	0.051	0.483	0.812	-0.155	0.217	2.85	0.264	0.516	0.582	-0.889	0.213	2.893	0.651	0.581	0.406	-2.627	0.197	2.935	0.833	0.585	0.227	-3.706	0.173	2.947	0.856	0.531	0.129	-1.559	0.164	2.978	-0.683	0.505	0.09	3.16	195.27	110	0.49	No	Solitary
Carnivora	Cynoidea	Canidae	Otocyon megalotis	-6	-6	0.225	2.786	0.051	0.483	0.812	-0.155	0.217	2.85	0.264	0.516	0.582	-0.889	0.213	2.893	0.651	0.581	0.406	-2.627	0.197	2.935	0.833	0.585	0.227	-3.706	0.173	2.947	0.856	0.531	0.129	-1.559	0.164	2.978	-0.683	0.505	0.09	3.16	26.84	4.15	0.81	No	Stable
Carnivora	Cynoidea	Canidae	Canis adustus	-6.5	-6.4987	0.23	2.728	0.052	0.367	0.955	-0.091	0.226	2.789	0.1	0.401	0.744	0.068	0.204	2.801	0.347	0.223	0.821	-0.018	0.181	2.832	-0.046	0.227	0.816	0.528	0.196	2.804	0.73	0.235	0.821	-0.188	0.144	2.793	8.989	0.263	0.849	-10.472	51.94	10.25	0.79	No	Stable
Carnivora	Cynoidea	Canidae	Canis armbrusteri	-6.5	-6.4987	0.23	2.728	0.052	0.367	0.955	-0.091	0.226	2.789	0.1	0.401	0.744	0.068	0.204	2.801	0.347	0.223	0.821	-0.018	0.181	2.832	-0.046	0.227	0.816	0.528	0.196	2.804	0.73	0.235	0.821	-0.188	0.144	2.793	8.989	0.263	0.849	-10.472	153.43	47.46	0.73	Yes	Stable
Carnivora	Cynoidea	Canidae	Canis aureus	-6.5	-6.4987	0.23	2.728	0.052	0.367	0.955	-0.091	0.226	2.789	0.1	0.401	0.744	0.068	0.204	2.801	0.347	0.223	0.821	-0.018	0.181	2.832	-0.046	0.227	0.816	0.528	0.196	2.804	0.73	0.235	0.821	-0.188	0.144	2.793	8.989	0.263	0.849	-10.472	72.24	10.35	1.09	No	Stable
Carnivora	Cynoidea	Canidae	Canis dirus	-6.5	-6.4987	0.23	2.728	0.052	0.367	0.955	-0.091	0.226	2.789	0.1	0.401	0.744	0.068	0.204	2.801	0.347	0.223	0.821	-0.018	0.181	2.832	-0.046	0.227	0.816	0.528	0.196	2.804	0.73	0.235	0.821	-0.188	0.144	2.793	8.989	0.263	0.849	-10.472	177.66	63.37	0.68	Yes	N/A
Carnivora	Cynoidea	Canidae	Canis edwardii	-6.5	-6.4987	0.23	2.728	0.052	0.367	0.955	-0.091	0.226	2.789	0.1	0.401	0.744	0.068	0.204	2.801	0.347	0.223	0.821	-0.018	0.181	2.832	-0.046	0.227	0.816	0.528	0.196	2.804	0.73	0.235	0.821	-0.188	0.144	2.793	8.989	0.263	0.849	-10.472	75.38	28.44	0.53	Yes	N/A
Carnivora	Cynoidea	Canidae	Canis latrans	-6.5	-6.4987	0.23	2.728	0.052	0.367	0.955	-0.091	0.226	2.789	0.1	0.401	0.744	0.068	0.204	2.801	0.347	0.223	0.821	-0.018	0.181	2.832	-0.046	0.227	0.816	0.528	0.196	2.804	0.73	0.235	0.821	-0.188	0.144	2.793	8.989	0.263	0.849	-10.472	88.23	13.41	1.09	No	Stable
Carnivora	Cynoidea	Canidae	Canis lupus (Eur)	-6.5	-6.4987	0.23	2.728	0.052	0.367	0.955	-0.091	0.226	2.789	0.1	0.401	0.744	0.068	0.204	2.801	0.347	0.223	0.821	-0.018	0.181	2.832	-0.046	0.227	0.816	0.528	0.196	2.804	0.73	0.235	0.821	-0.188	0.144	2.793	8.989	0.263	0.849	-10.472	131.6	29	0.91	No	Stable
Carnivora	Cynoidea	Canidae	Canis lupus (NA)	-6.5	-6.4987	0.23	2.728	0.052	0.367	0.955	-0.091	0.226	2.789	0.1	0.401	0.744	0.068	0.204	2.801	0.347	0.223	0.821	-0.018	0.181	2.832	-0.046	0.227	0.816	0.528	0.196	2.804	0.73	0.235	0.821	-0.188	0.144	2.793	8.989	0.263	0.849	-10.472	131.6	32.18	0.84	No	Stable
Carnivora	Cynoidea	Canidae	Canis mesomelas	-6.5	-6.4987	0.23	2.728	0.052	0.367	0.955	-0.091	0.226	2.789	0.1	0.401	0.744	0.068	0.204	2.801	0.347	0.223	0.821	-0.018	0.181	2.832	-0.046	0.227	0.816	0.528	0.196	2.804	0.73	0.235	0.821	-0.188	0.144	2.793	8.989	0.263	0.849	-10.472	51.42	8.5	0.9	No	Stable
Carnivora	Cynoidea	Canidae	Canis simensis	-6.5	-6.4987	0.23	2.728	0.052	0.367	0.955	-0.091	0.226	2.789	0.1	0.401	0.744	0.068	0.204	2.801	0.347	0.223	0.821	-0.018	0.181	2.832	-0.046	0.227	0.816	0.528	0.196	2.804	0.73	0.235	0.821	-0.188	0.144	2.793	8.989	0.263	0.849	-10.472	80.67	10	1.25	No	Stable
Carnivora	Cynoidea	Canidae	Cuon alpinus	-6.5	-6.4987	0.23	2.728	0.052	0.367	0.955	-0.091	0.226	2.789	0.1	0.401	0.744	0.068	0.204	2.801	0.347	0.223	0.821	-0.018	0.181	2.832	-0.046	0.227	0.816	0.528	0.196	2.804	0.73	0.235	0.821	-0.188	0.144	2.793	8.989	0.263	0.849	-10.472	95	12.76	1.22	No	Stable
Carnivora	Cynoidea	Canidae	Cuon javanicus	-6.5	-6.4987	0.23	2.728	0.052	0.367	0.955	-0.091	0.226	2.789	0.1	0.401	0.744	0.068	0.204	2.801	0.347	0.223	0.821	-0.018	0.181	2.832	-0.046	0.227	0.816	0.528	0.196	2.804	0.73	0.235	0.821	-0.188	0.144	2.793	8.989	0.263	0.849	-10.472	117.19	18.41	1.14	No	Stable
Carnivora	Arctoidea	Mustelidae	Amblonyx cinereus	-7	-6.997	0.243	2.691	0.071	0.373	0.992	-0.084	0.239	2.789	0.298	0.513	0.715	-0.973	0.245	2.807	0.995	0.517	0.641	-2.459	0.208	2.885	-1.506	0.461	0.453	3.358	0.221	2.78	-1.564	0.524	0.645	10.517	0.234	2.747	-8.472	0.218	1.075	11.206	38.08	1.75	2.22	No	Stable
Carnivora	Arctoidea	Mustelidae	Aonyx capensis	-7	-6.997	0.243	2.691	0.071	0.373	0.992	-0.084	0.239	2.789	0.298	0.513	0.715	-0.973	0.245	2.807	0.995	0.517	0.641	-2.459	0.208	2.885	-1.506	0.461	0.453	3.358	0.221	2.78	-1.564	0.524	0.645	10.517	0.234	2.747	-8.472	0.218	1.075	11.206	94.63	19	0.9	No	Facultative
