Order	Suborder	Family	Species	MYA	Actual MYA	5Mya_SD_oxy	5Mya_M_oxy	5Mya_slope_oxy	5Mya_SD_carbon	5Mya_M_carbon	5Mya_slope_carbon	1Mya_SD_oxy	1Mya_M_oxy	1Mya_slope_oxy	1Mya_SD_carbon	1Mya_M_carbon	1Mya_slope_carbon	400k_SD_oxy	400k_M_oxy	400k_slope_oxy	400k_SD_carbon	400k_M_carbon	400k_slope_carbon	200K_SD_oxy	200K_M_oxy	200K_slope_oxy	200K_SD_carbon	200K_M_carbon	200K_slope_carbon	100k_SD_oxy	100k_M_oxy	100k_slope_oxy	100k_SD_carbon	100k_M_carbon	100k_slope_carbon	40k_SD_oxy	40k_M_oxy	40k_slope_oxy	40k_SD_carbon	40k_M_carbon	40k_slope_carbon	CC	Fossil
Artiodactyla	Suiformes	Suidae	Babyrousa babyrussa	-10	-9.9894	0.358	2.279	0.208	0.394	1.368	-0.203	0.202	2.605	0.211	0.194	1.02	0.114	0.182	2.671	0.162	0.18	1.055	0.277	0.16	2.686	-0.203	0.178	1.087	-0.173	0.171	2.688	-0.634	0.207	1.082	-1.417	0.14	2.674	5.798	0.197	0.996	-8.998	127	No
Artiodactyla	Ruminanta	Cervidae	Alces alces	-11	-10.999	0.38	2.196	0.23	0.388	1.42	-0.18	0.241	2.543	0.089	0.28	1.082	0.119	0.197	2.537	-0.005	0.217	1.123	-0.483	0.172	2.523	0.91	0.148	1.06	-0.806	0.164	2.563	1.133	0.123	1.023	-1.446	0.184	2.583	10.676	0.076	0.977	0.586	435	No
Artiodactyla	Ruminanta	Cervidae	Capreolus	-11	-10.999	0.38	2.196	0.23	0.388	1.42	-0.18	0.241	2.543	0.089	0.28	1.082	0.119	0.197	2.537	-0.005	0.217	1.123	-0.483	0.172	2.523	0.91	0.148	1.06	-0.806	0.164	2.563	1.133	0.123	1.023	-1.446	0.184	2.583	10.676	0.076	0.977	0.586	100.2	No
Artiodactyla	Ruminanta	Cervidae	Rangifer tarandus	-13.6	-13.6	0.289	1.822	0.038	0.353	1.567	0.139	0.326	1.957	0.456	0.297	1.703	-0.118	0.334	2.109	1.226	0.312	1.65	1.264	0.256	2.252	-0.783	0.288	1.762	1.185	0.237	2.212	-0.607	0.327	1.799	5.18	0.256	2.207	0.653	0.407	1.949	14.19	270.4	No
Artiodactyla	Tylopoda	Camelidae	Lama glama	-13.6	-13.6	0.289	1.822	0.038	0.353	1.567	0.139	0.326	1.957	0.456	0.297	1.703	-0.118	0.334	2.109	1.226	0.312	1.65	1.264	0.256	2.252	-0.783	0.288	1.762	1.185	0.237	2.212	-0.607	0.327	1.799	5.18	0.256	2.207	0.653	0.407	1.949	14.19	232	No
Artiodactyla	Tylopoda	Camelidae	Lama pacos	-13.6	-13.6	0.289	1.822	0.038	0.353	1.567	0.139	0.326	1.957	0.456	0.297	1.703	-0.118	0.334	2.109	1.226	0.312	1.65	1.264	0.256	2.252	-0.783	0.288	1.762	1.185	0.237	2.212	-0.607	0.327	1.799	5.18	0.256	2.207	0.653	0.407	1.949	14.19	178	No
Artiodactyla	Ruminanta	Antilocapridae	Antilope cervicapra	-13.7	-13.7	0.282	1.81	0.021	0.354	1.556	0.141	0.322	1.915	0.428	0.285	1.687	-0.187	0.346	2.034	1.58	0.307	1.593	0.714	0.305	2.152	2.574	0.285	1.675	0.715	0.266	2.29	-1.211	0.243	1.717	-1.201	0.186	2.244	-1.004	0.237	1.613	6.267	165	No
Artiodactyla	Ruminanta	Giraffidae	Samotherium	-13.7	-13.7	0.282	1.81	0.021	0.354	1.556	0.141	0.322	1.915	0.428	0.285	1.687	-0.187	0.346	2.034	1.58	0.307	1.593	0.714	0.305	2.152	2.574	0.285	1.675	0.715	0.266	2.29	-1.211	0.243	1.717	-1.201	0.186	2.244	-1.004	0.237	1.613	6.267	420	Yes
Artiodactyla	Ruminanta	Cervidae	Muntiacus muntjak	-15.5	-15.4995	0.261	1.837	-0.083	0.452	1.31	0.232	0.242	1.736	0.245	0.293	1.678	0.192	0.252	1.765	-0.022	0.284	1.68	-0.61	0.198	1.775	0.342	0.262	1.63	0.134	0.172	1.796	-2.184	0.257	1.653	-1.099	0.145	1.74	-6.053	0.193	1.621	-0.9	122	No
Artiodactyla	Ruminanta	Cervidae	Dicrocerus	-16	-16	0.269	1.863	-0.098	0.432	1.197	0.201	0.243	1.687	0.14	0.311	1.539	0.544	0.234	1.73	0.933	0.313	1.666	1.415	0.172	1.849	-0.432	0.259	1.865	-0.08	0.163	1.859	-1.695	0.256	1.859	-0.341	0.199	1.81	-0.059	0.315	1.854	3.935	150	Yes
Artiodactyla	Ruminanta	Palaeomerycidae	Aletomeryx	-16.3	-16.3	0.282	1.873	-0.102	0.377	1.105	0.147	0.255	1.667	-0.329	0.256	1.407	0.176	0.204	1.58	-0.483	0.202	1.447	0.027	0.191	1.542	-0.125	0.201	1.469	-1.345	0.202	1.558	-1.988	0.197	1.425	-2.045	0.191	1.459	2.978	0.133	1.27	0.796	45	Yes
Artiodactyla	Tylopoda	Camelidae	Procamelus	-16.3	-16.3	0.282	1.873	-0.102	0.377	1.105	0.147	0.255	1.667	-0.329	0.256	1.407	0.176	0.204	1.58	-0.483	0.202	1.447	0.027	0.191	1.542	-0.125	0.201	1.469	-1.345	0.202	1.558	-1.988	0.197	1.425	-2.045	0.191	1.459	2.978	0.133	1.27	0.796	380	Yes
Artiodactyla	Ruminanta	Giraffidae	Giraffa camelopardalis	-17.8	-17.8	0.23	1.953	0.029	0.294	0.952	-0.046	0.167	1.939	-0.005	0.349	0.935	0.325	0.157	1.933	0.557	0.238	1.045	-0.079	0.155	1.994	1.523	0.287	1.05	-1.227	0.226	2.03	5.192	0.192	1.038	-4.402	0.112	2.133	-115.625	0.095	0.95	84.375	703.9	No
Artiodactyla	Ruminanta	Giraffidae	Okapia johnstoni	-17.8	-17.8	0.23	1.953	0.029	0.294	0.952	-0.046	0.167	1.939	-0.005	0.349	0.935	0.325	0.157	1.933	0.557	0.238	1.045	-0.079	0.155	1.994	1.523	0.287	1.05	-1.227	0.226	2.03	5.192	0.192	1.038	-4.402	0.112	2.133	-115.625	0.095	0.95	84.375	501	No
Artiodactyla	Ruminanta	Cervidae	Hydropotes inermis	-19.7	-19.6571	0.316	1.89	0.067	0.295	1.052	0.006	0.222	2.082	-0.336	0.29	0.879	0.018	0.212	1.991	-0.326	0.334	0.846	-0.162	0.14	1.934	-0.671	0.372	0.779	0.451	0.127	1.905	0.907	0.389	0.82	-2.224	0.092	1.955	2.421	0.339	0.65	8.939	53	No
Artiodactyla	Ruminanta	Cervidae	Dremotherium	-20	-19.9902	0.329	1.851	0.102	0.312	1.011	0.068	0.217	2.103	-0.019	0.267	0.887	0.165	0.212	2.077	-0.122	0.283	0.966	-0.173	0.29	2.043	0.316	0.339	0.967	-1.277	0.33	2.05	19	0.468	0.867	24.833	0.33	2.05	19	0.468	0.867	24.833	53	Yes
Artiodactyla	Tylopoda	Merycoidodontidae	Promerycochoerus	-20	-19.9902	0.329	1.851	0.102	0.312	1.011	0.068	0.217	2.103	-0.019	0.267	0.887	0.165	0.212	2.077	-0.122	0.283	0.966	-0.173	0.29	2.043	0.316	0.339	0.967	-1.277	0.33	2.05	19	0.468	0.867	24.833	0.33	2.05	19	0.468	0.867	24.833	160	Yes
Artiodactyla	Tylopoda	Camelidae	Protolabis	-20.6	-20.5975	0.324	1.817	0.094	0.333	0.941	0.157	0.281	2.035	0.145	0.235	0.912	-0.378	0.266	2.093	0.402	0.24	0.818	-0.821	0.324	2.103	1.902	0.279	0.764	-0.859	0.357	2.313	-0.029	0.089	0.67	-1.726	0.389	2.445	-9.338	0.028	0.62	-0.679	140	Yes
Artiodactyla	Tylopoda	Merycoidodontidae	Leptauchaenia	-28	-27.99	0.253	2.579	0.023	0.287	0.883	-0.134	0.367	2.643	-0.068	0.305	0.598	0.122	0.401	2.705	-0.023	0.271	0.571	-0.115	0.36	2.671	-0.797	0.087	0.502	1.15	0.46	2.588	-4.365	0.037	0.573	-0.285	0.411	2.43	23.99	0.045	0.573	-1.508	20	Yes
Artiodactyla	Tylopoda	Merycoidodontidae	Miniochoerus	-28	-27.99	0.253	2.579	0.023	0.287	0.883	-0.134	0.367	2.643	-0.068	0.305	0.598	0.122	0.401	2.705	-0.023	0.271	0.571	-0.115	0.36	2.671	-0.797	0.087	0.502	1.15	0.46	2.588	-4.365	0.037	0.573	-0.285	0.411	2.43	23.99	0.045	0.573	-1.508	30	Yes
Artiodactyla	Ruminanta	Tragulidae	Tragulus javanicus	-28.4	-28.3995	0.256	2.61	-0.024	0.321	0.965	-0.173	0.316	2.625	-0.216	0.309	0.54	0.409	0.371	2.557	-0.868	0.347	0.66	0.738	0.405	2.474	-0.351	0.425	0.766	-0.53	0.408	2.444	-1.745	0.458	0.658	1.506	0.546	2.357	51.69	0.635	0.797	-99.252	14.55	No
Artiodactyla	Ruminanta	Tragulidae	Tragulus napu	-28.4	-28.3995	0.256	2.61	-0.024	0.321	0.965	-0.173	0.316	2.625	-0.216	0.309	0.54	0.409	0.371	2.557	-0.868	0.347	0.66	0.738	0.405	2.474	-0.351	0.425	0.766	-0.53	0.408	2.444	-1.745	0.458	0.658	1.506	0.546	2.357	51.69	0.635	0.797	-99.252	17.6	No
Artiodactyla	Tylopoda	Merycoidodontidae	Eporeodon majori	-30.8	-30.797	0.45	2.338	0.225	0.254	1.067	-0.023	0.199	2.532	0.12	0.181	0.966	0.047	0.21	2.569	0.598	0.17	0.985	-0.075	0.246	2.649	0.739	0.172	0.96	0.696	0.28	2.632	4.187	0.144	0.971	-0.191	0.089	2.693	4.444	0.038	0.968	-2.053	77	Yes
Artiodactyla	Tylopoda	Merycoidodontidae	Eporeodon socialis	-30.8	-30.797	0.45	2.338	0.225	0.254	1.067	-0.023	0.199	2.532	0.12	0.181	0.966	0.047	0.21	2.569	0.598	0.17	0.985	-0.075	0.246	2.649	0.739	0.172	0.96	0.696	0.28	2.632	4.187	0.144	0.971	-0.191	0.089	2.693	4.444	0.038	0.968	-2.053	46	Yes
Artiodactyla	Suiformes	Suidae	Tayassu pecari	-31	-30.9968	0.453	2.32	0.229	0.259	1.067	-0.01	0.179	2.5	0.021	0.179	0.959	0.095	0.145	2.484	0.103	0.181	0.975	0.395	0.135	2.499	-0.284	0.166	1.007	0.235	0.143	2.479	0.38	0.189	1.017	-0.777	0.115	2.478	4.56	0.218	1.01	-11.373	105.1	No
Artiodactyla	Ruminanta	Leptomerycidae	Leptomeryx	-33.9	-33.9	0.193	1.744	0.053	0.267	0.932	0.082	0.17	1.775	0.108	0.227	1.02	-0.361	0.21	1.802	-0.081	0.205	0.902	-0.739	0.191	1.776	0.037	0.23	0.823	-1.654	0.17	1.784	0.242	0.249	0.745	-2.427	0.237	1.778	3.365	0.213	0.717	-3.486	22	Yes
Artiodactyla	Suiformes	Entelodontidae	Archaeotherium	-33.9	-33.9	0.193	1.744	0.053	0.267	0.932	0.082	0.17	1.775	0.108	0.227	1.02	-0.361	0.21	1.802	-0.081	0.205	0.902	-0.739	0.191	1.776	0.037	0.23	0.823	-1.654	0.17	1.784	0.242	0.249	0.745	-2.427	0.237	1.778	3.365	0.213	0.717	-3.486	190	Yes
Artiodactyla	Tylopoda	Cainotheriidae	Cainotherium	-33.9	-33.9	0.193	1.744	0.053	0.267	0.932	0.082	0.17	1.775	0.108	0.227	1.02	-0.361	0.21	1.802	-0.081	0.205	0.902	-0.739	0.191	1.776	0.037	0.23	0.823	-1.654	0.17	1.784	0.242	0.249	0.745	-2.427	0.237	1.778	3.365	0.213	0.717	-3.486	5.2	Yes
Artiodactyla	Tylopoda	Merycoidodontidae	Bathygenys	-33.9	-33.9	0.193	1.744	0.053	0.267	0.932	0.082	0.17	1.775	0.108	0.227	1.02	-0.361	0.21	1.802	-0.081	0.205	0.902	-0.739	0.191	1.776	0.037	0.23	0.823	-1.654	0.17	1.784	0.242	0.249	0.745	-2.427	0.237	1.778	3.365	0.213	0.717	-3.486	14	Yes
Artiodactyla	Tylopoda	Merycoidodontidae	Merycoidodon	-33.9	-33.9	0.193	1.744	0.053	0.267	0.932	0.082	0.17	1.775	0.108	0.227	1.02	-0.361	0.21	1.802	-0.081	0.205	0.902	-0.739	0.191	1.776	0.037	0.23	0.823	-1.654	0.17	1.784	0.242	0.249	0.745	-2.427	0.237	1.778	3.365	0.213	0.717	-3.486	55	Yes
Artiodactyla	Ruminanta	Tragulidae	Hyemoschus aquaticus	-35.2	-35.197	0.263	1.622	0.128	0.249	0.772	-0.015	0.225	1.848	-0.101	0.24	0.783	-0.01	0.081	1.809	0.293	0.204	0.773	0.568	0.055	1.86	0.147	0.15	0.857	2.018	0.059	1.87	-0.315	0.114	0.918	2.161	0.074	1.847	2.703	0.089	0.99	4.409	24.95	No
Artiodactyla	Ruminanta	Hypertragulidae	Hypertragulus	-38	-37.986	0.306	1.229	0.13	0.339	0.841	-0.023	0.126	1.49	0.099	0.297	0.674	-0.206	0.126	1.5	0.4	0.303	0.629	-0.595	0.123	1.535	-0.077	0.301	0.561	0.418	0.099	1.542	-0.679	0.16	0.568	-0.429	0.121	1.507	6.278	0.196	0.513	14.574	8.5	Yes
Artiodactyla	Ruminanta	Agriochoeridae	Agriochoerus	-42	-41.9743	0.308	0.897	0.089	0.346	0.738	0.015	0.344	0.988	0.064	0.4	0.727	0.014	0.323	1.029	-1.552	0.45	0.783	-2.287	0.078	0.675	1.097	0.24	0.3	3.39	0.078	0.675	1.097	0.24	0.3	3.39	0.078	0.675	1.097	0.24	0.3	3.39	76	Yes
Artiodactyla	Ruminanta	Agriochoeridae	Protoreodon	-42	-41.9743	0.308	0.897	0.089	0.346	0.738	0.015	0.344	0.988	0.064	0.4	0.727	0.014	0.323	1.029	-1.552	0.45	0.783	-2.287	0.078	0.675	1.097	0.24	0.3	3.39	0.078	0.675	1.097	0.24	0.3	3.39	0.078	0.675	1.097	0.24	0.3	3.39	24	Yes
Artiodactyla	Tylopoda	Dichobunidae	Homacodon	-46.2	-46.1707	0.334	0.218	0.167	0.328	0.837	-0.046	0.198	0.558	0.201	0.291	0.651	-0.156	0.194	0.613	-0.245	0.291	0.604	0.164	0.183	0.57	0.364	0.097	0.577	0.892	0.255	0.55	6.01	0.042	0.63	-1.002	0.255	0.55	6.01	0.042	0.63	-1.002	9.5	Yes
Carnivora	Feliformes	Felidae	Leopardus pardalis	-1.8	-1.8	0.366	3.205	0.185	0.546	0.024	-0.054	0.292	3.619	0.24	0.55	0.006	0.024	0.264	3.696	-0.148	0.572	0.014	0.626	0.249	3.681	-0.022	0.559	0.08	0.111	0.241	3.641	1.388	0.566	0.108	-1.585	0.205	3.664	-0.639	0.626	0.061	2.023	63.43	No
Carnivora	Feliformes	Felidae	Oncifelis geoffroyi	-1.8	-1.8	0.366	3.205	0.185	0.546	0.024	-0.054	0.292	3.619	0.24	0.55	0.006	0.024	0.264	3.696	-0.148	0.572	0.014	0.626	0.249	3.681	-0.022	0.559	0.08	0.111	0.241	3.641	1.388	0.566	0.108	-1.585	0.205	3.664	-0.639	0.626	0.061	2.023	34	No
Carnivora	Feliformes	Felidae	Smilodon californicus	-1.8	-1.8	0.366	3.205	0.185	0.546	0.024	-0.054	0.292	3.619	0.24	0.55	0.006	0.024	0.264	3.696	-0.148	0.572	0.014	0.626	0.249	3.681	-0.022	0.559	0.08	0.111	0.241	3.641	1.388	0.566	0.108	-1.585	0.205	3.664	-0.639	0.626	0.061	2.023	385.61	Yes
Carnivora	Feliformes	Felidae	Smilodon fatalis	-1.8	-1.8	0.366	3.205	0.185	0.546	0.024	-0.054	0.292	3.619	0.24	0.55	0.006	0.024	0.264	3.696	-0.148	0.572	0.014	0.626	0.249	3.681	-0.022	0.559	0.08	0.111	0.241	3.641	1.388	0.566	0.108	-1.585	0.205	3.664	-0.639	0.626	0.061	2.023	345.91	Yes
Carnivora	Feliformes	Felidae	Smilodon gracilis	-1.8	-1.8	0.366	3.205	0.185	0.546	0.024	-0.054	0.292	3.619	0.24	0.55	0.006	0.024	0.264	3.696	-0.148	0.572	0.014	0.626	0.249	3.681	-0.022	0.559	0.08	0.111	0.241	3.641	1.388	0.566	0.108	-1.585	0.205	3.664	-0.639	0.626	0.061	2.023	184.88	Yes
Carnivora	Feliformes	Hyaenidae	Proteles cristata	-1.8	-1.8	0.366	3.205	0.185	0.546	0.024	-0.054	0.292	3.619	0.24	0.55	0.006	0.024	0.264	3.696	-0.148	0.572	0.014	0.626	0.249	3.681	-0.022	0.559	0.08	0.111	0.241	3.641	1.388	0.566	0.108	-1.585	0.205	3.664	-0.639	0.626	0.061	2.023	35.16	No
Carnivora	Cynoidea	Canidae	Alopex lagopus	-2	-2	0.354	3.173	0.177	0.548	0.028	-0.074	0.308	3.551	0.416	0.536	-0.002	-0.119	0.273	3.638	0.622	0.564	-0.031	-0.276	0.278	3.711	-0.211	0.578	-0.053	0.811	0.29	3.725	-3.605	0.573	-0.041	5.899	0.209	3.577	1.586	0.518	0.209	-0.488	35.52	No
Carnivora	Feliformes	Felidae	Felis chaus	-2	-2	0.354	3.173	0.177	0.548	0.028	-0.074	0.308	3.551	0.416	0.536	-0.002	-0.119	0.273	3.638	0.622	0.564	-0.031	-0.276	0.278	3.711	-0.211	0.578	-0.053	0.811	0.29	3.725	-3.605	0.573	-0.041	5.899	0.209	3.577	1.586	0.518	0.209	-0.488	39.25	No
Carnivora	Feliformes	Felidae	Felis nigripes	-2	-2	0.354	3.173	0.177	0.548	0.028	-0.074	0.308	3.551	0.416	0.536	-0.002	-0.119	0.273	3.638	0.622	0.564	-0.031	-0.276	0.278	3.711	-0.211	0.578	-0.053	0.811	0.29	3.725	-3.605	0.573	-0.041	5.899	0.209	3.577	1.586	0.518	0.209	-0.488	20.09	No
Carnivora	Feliformes	Felidae	Felis silvestris	-2	-2	0.354	3.173	0.177	0.548	0.028	-0.074	0.308	3.551	0.416	0.536	-0.002	-0.119	0.273	3.638	0.622	0.564	-0.031	-0.276	0.278	3.711	-0.211	0.578	-0.053	0.811	0.29	3.725	-3.605	0.573	-0.041	5.899	0.209	3.577	1.586	0.518	0.209	-0.488	37.34	No
Carnivora	Cynoidea	Canidae	Atelocynus microtis	-2.5	-2.5	0.299	3.084	0.133	0.558	0.059	-0.115	0.305	3.324	0.557	0.485	0.009	0.071	0.294	3.498	0.749	0.526	0.033	-0.563	0.317	3.561	1.235	0.541	-0.007	-1.216	0.327	3.597	5.488	0.571	-0.035	-6.074	0.322	3.832	-5.533	0.55	-0.338	15.992	62.18	No
Carnivora	Cynoidea	Canidae	Chrysocyon brachyurus	-2.5	-2.5	0.299	3.084	0.133	0.558	0.059	-0.115	0.305	3.324	0.557	0.485	0.009	0.071	0.294	3.498	0.749	0.526	0.033	-0.563	0.317	3.561	1.235	0.541	-0.007	-1.216	0.327	3.597	5.488	0.571	-0.035	-6.074	0.322	3.832	-5.533	0.55	-0.338	15.992	120.3	No
Carnivora	Cynoidea	Canidae	Lycaon pictus	-2.5	-2.5	0.299	3.084	0.133	0.558	0.059	-0.115	0.305	3.324	0.557	0.485	0.009	0.071	0.294	3.498	0.749	0.526	0.033	-0.563	0.317	3.561	1.235	0.541	-0.007	-1.216	0.327	3.597	5.488	0.571	-0.035	-6.074	0.322	3.832	-5.533	0.55	-0.338	15.992	129	No
Carnivora	Cynoidea	Canidae	Pseudalopex culpaeus	-2.5	-2.5	0.299	3.084	0.133	0.558	0.059	-0.115	0.305	3.324	0.557	0.485	0.009	0.071	0.294	3.498	0.749	0.526	0.033	-0.563	0.317	3.561	1.235	0.541	-0.007	-1.216	0.327	3.597	5.488	0.571	-0.035	-6.074	0.322	3.832	-5.533	0.55	-0.338	15.992	51.5	No
Carnivora	Cynoidea	Canidae	Pseudalopex  gymnocercus	-2.5	-2.5	0.299	3.084	0.133	0.558	0.059	-0.115	0.305	3.324	0.557	0.485	0.009	0.071	0.294	3.498	0.749	0.526	0.033	-0.563	0.317	3.561	1.235	0.541	-0.007	-1.216	0.327	3.597	5.488	0.571	-0.035	-6.074	0.322	3.832	-5.533	0.55	-0.338	15.992	40	No
Carnivora	Cynoidea	Canidae	Speothos venaticus	-2.5	-2.5	0.299	3.084	0.133	0.558	0.059	-0.115	0.305	3.324	0.557	0.485	0.009	0.071	0.294	3.498	0.749	0.526	0.033	-0.563	0.317	3.561	1.235	0.541	-0.007	-1.216	0.327	3.597	5.488	0.571	-0.035	-6.074	0.322	3.832	-5.533	0.55	-0.338	15.992	40.45	No
Carnivora	Feliformes	Felidae	Panthera atrox	-3	-3	0.243	3.013	0.086	0.568	0.071	-0.176	0.228	3.13	0.184	0.37	-0.07	0.304	0.243	3.204	-0.196	0.459	0.038	0.018	0.215	3.198	0.834	0.459	-0.013	-1.463	0.207	3.205	4.072	0.457	-0.055	-1.302	0.193	3.327	6.18	0.467	-0.052	4.309	459.87	Yes
Carnivora	Feliformes	Felidae	Panthera augusta	-3	-3	0.243	3.013	0.086	0.568	0.071	-0.176	0.228	3.13	0.184	0.37	-0.07	0.304	0.243	3.204	-0.196	0.459	0.038	0.018	0.215	3.198	0.834	0.459	-0.013	-1.463	0.207	3.205	4.072	0.457	-0.055	-1.302	0.193	3.327	6.18	0.467	-0.052	4.309	272.66	Yes
Carnivora	Feliformes	Felidae	Panthera leo	-3	-3	0.243	3.013	0.086	0.568	0.071	-0.176	0.228	3.13	0.184	0.37	-0.07	0.304	0.243	3.204	-0.196	0.459	0.038	0.018	0.215	3.198	0.834	0.459	-0.013	-1.463	0.207	3.205	4.072	0.457	-0.055	-1.302	0.193	3.327	6.18	0.467	-0.052	4.309	223.63	No
Carnivora	Feliformes	Felidae	Panthera onca	-3	-3	0.243	3.013	0.086	0.568	0.071	-0.176	0.228	3.13	0.184	0.37	-0.07	0.304	0.243	3.204	-0.196	0.459	0.038	0.018	0.215	3.198	0.834	0.459	-0.013	-1.463	0.207	3.205	4.072	0.457	-0.055	-1.302	0.193	3.327	6.18	0.467	-0.052	4.309	151.41	No
Carnivora	Feliformes	Felidae	Panthera pardus	-3	-3	0.243	3.013	0.086	0.568	0.071	-0.176	0.228	3.13	0.184	0.37	-0.07	0.304	0.243	3.204	-0.196	0.459	0.038	0.018	0.215	3.198	0.834	0.459	-0.013	-1.463	0.207	3.205	4.072	0.457	-0.055	-1.302	0.193	3.327	6.18	0.467	-0.052	4.309	125.21	Yes
Carnivora	Feliformes	Felidae	Panthera tigris	-3	-3	0.243	3.013	0.086	0.568	0.071	-0.176	0.228	3.13	0.184	0.37	-0.07	0.304	0.243	3.204	-0.196	0.459	0.038	0.018	0.215	3.198	0.834	0.459	-0.013	-1.463	0.207	3.205	4.072	0.457	-0.055	-1.302	0.193	3.327	6.18	0.467	-0.052	4.309	278.66	No
