Species Name ,Order,Brain Mass (g),Cranial Capacity (cc),Body Mass (g),EQ
Tragulus napu,Cetartiodactyla,18.5,17.86,2510,0.96
Phacochoerus aethiopicus,Cetartiodactyla,125,120.66,65320,0.57
Giraffa camelopardalis,Cetartiodactyla,700,675.68,1209000,0.36
Hippopotamus amphibius,Cetartiodactyla,720,694.98,1351000,0.34
Balaenoptera borealis,Cetartiodactyla,4900,4729.73,36666666.67,0.2
Balaenoptera physalus,Cetartiodactyla,5100,4922.78,62500000,0.14
Pteropus rufus,Chiroptera,7.3,7.05,374.86,1.57
Pteropus lylei,Chiroptera,6.13,5.92,314.29,1.5
Rousettus egyptiacus,Chiroptera,2.6,2.51,130,1.23
Desmodus rotundus,Chiroptera,0.9,0.87,29,1.3
Cynopterus brachyotis,Chiroptera,0.88,0.85,29,1.27
Diaemus youngi,Chiroptera,0.97,0.94,34.6,1.23
Cynopterus horsfieldi,Chiroptera,1.23,1.19,53,1.14
Eonycteris spelaea,Chiroptera,1.18,1.14,50,1.14
Noctilio leporinus,Chiroptera,1.26,1.22,58.5,1.08
Phyllostomus discolor,Chiroptera,0.89,0.86,33,1.17
Artibeus jamaicensis,Chiroptera,0.93,0.9,37.5,1.11
Hypsignathus monstrosus,Chiroptera,3.4,3.28,340,0.78
Casinycteris argynnis,Chiroptera,0.92,0.89,40.5,1.04
Uroderma bilobatum,Chiroptera,0.53,0.51,16.4,1.17
Platyrrhinus helleri,Chiroptera,0.42,0.41,11.6,1.2
Sturnira lilium,Chiroptera,0.52,0.5,17.1,1.12
Glossophaga soricina,Chiroptera,0.39,0.38,11.2,1.15
Artibeus lituratus,Chiroptera,1.05,1.01,58.7,0.9
Carollia perspicillata,Chiroptera,0.47,0.45,16,1.06
Nycteris arge,Chiroptera,0.36,0.35,10.6,1.1
Mormoops megalophylla,Chiroptera,0.42,0.41,15.6,0.97
Leptonycteris curasoae,Chiroptera,0.55,0.53,24.5,0.9
Myotis bechsteini,Chiroptera,0.27,0.26,7.5,1.05
Hipposideros caffer,Chiroptera,0.32,0.31,10.7,0.98
Pteronotus davyi,Chiroptera,0.31,0.3,10.6,0.95
Rhinolophus hipposideros,Chiroptera,0.24,0.23,7.15,0.97
Myotis daubentoni,Chiroptera,0.23,0.22,7,0.96
Myotis mystacinus,Chiroptera,0.16,0.15,4,1.02
Myotis myotis,Chiroptera,0.48,0.46,25,0.78
Myotis nattereri,Chiroptera,0.22,0.21,7,0.92
Mimon crenulatum,Chiroptera,0.34,0.33,14.8,0.81
Hipposideros bicolor,Chiroptera,0.24,0.23,8.4,0.88
Saccopteryx bilineata,Chiroptera,0.22,0.21,8,0.83
Miniopterus schreibersi,Chiroptera,0.29,0.28,12.7,0.78
Myotis bocagei,Chiroptera,0.21,0.2,7.6,0.83
Noctilio albiventris,Chiroptera,0.55,0.53,38.5,0.64
Chaerephon pumila,Chiroptera,0.29,0.28,13.3,0.75
Myotis dasycneme,Chiroptera,0.31,0.3,15,0.73
Molossus molossus,Chiroptera,0.26,0.25,13,0.69
Mormopterus jugularis,Chiroptera,0.22,0.21,11.5,0.64
Myotis nigricans,Chiroptera,0.12,0.12,4.5,0.7
Rhynchonycteris naso,Chiroptera,0.11,0.11,4.3,0.66
Myrmecobius fasciatus,Dasyuromorphia,4.4,4.25,405.4,0.89
Parantechinus apicalis,Dasyuromorphia,1.24,1.2,60.5,1.04
Antechinus stuartii,Dasyuromorphia,0.79,0.76,29.8,1.12
Dasycercus byrnei,Dasyuromorphia,1.55,1.5,98.4,0.9
Phascogale calura,Dasyuromorphia,0.94,0.91,43.8,1
Antechinus swainsonii,Dasyuromorphia,1.13,1.09,63.5,0.91
Murexia rothschildi,Dasyuromorphia,1.09,1.05,62,0.89
Antechinus minimus,Dasyuromorphia,0.77,0.74,36.3,0.94
Sminthopsis laniger,Dasyuromorphia,0.49,0.47,17.8,1.01
Antechinus flavipes,Dasyuromorphia,0.66,0.64,30.7,0.92
Sminthopsis griseoventer,Dasyuromorphia,0.51,0.49,19.8,0.98
Dasyurus hallucatus,Dasyuromorphia,3.5,3.38,513,0.59
Sminthopsis crassicaudata,Dasyuromorphia,0.37,0.36,13.3,0.97
Sminthopsis macroura,Dasyuromorphia,0.41,0.4,17,0.89
Antechinus leo,Dasyuromorphia,0.78,0.75,60.2,0.65
Antechinus bellus,Dasyuromorphia,0.65,0.63,45.8,0.67
Planigale gilesi,Dasyuromorphia,0.18,0.17,6.1,0.82
Murexia longicaudata,Dasyuromorphia,1.74,1.68,296.5,0.44
Caluromys philander,Didelphimorphia,3.63,3.5,277,0.98
Thylamys elegans,Didelphimorphia,0.74,0.71,20.1,1.4
Caluromys derbianus,Didelphimorphia,3.52,3.4,289,0.92
Marmosa rubra,Didelphimorphia,1.24,1.2,60,1.05
Marmosa mexicana,Didelphimorphia,1.04,1,46.7,1.05
Metachirus nudicaudatus,Didelphimorphia,3.63,3.5,390,0.76
Marmosa murina,Didelphimorphia,1.14,1.1,60,0.96
Philander opossum,Didelphimorphia,3.97,3.83,570,0.62
Caluromys lanatus,Didelphimorphia,3.1,2.99,384,0.65
Monodelphis brevicaudata,Didelphimorphia,0.93,0.9,64.6,0.74
Didelphis marsupialis,Didelphimorphia,6.05,5.84,1535,0.45
Marmosa robinsoni,Didelphimorphia,0.73,0.7,50.5,0.69
Didelphis virginiana,Didelphimorphia,6.96,6.72,2797,0.33
Gymnobelideus leadbeateri,Diprotodontia,2.95,2.85,90.5,1.83
Onychogalea fraenata,Diprotodontia,13.5,13.03,1433,1.07
Thylogale billardierii,Diprotodontia,22.9,22.1,3618,0.91
Bettongia gaimardi,Diprotodontia,12.12,11.7,1273,1.05
Macropus eugenii,Diprotodontia,24.55,23.7,4425,0.84
Bettongia penicillata,Diprotodontia,9.9,9.56,981,1.04
Dendrolagus dorianus,Diprotodontia,33.46,32.3,7897,0.74
Lagorchestes conspicillatus,Diprotodontia,14.5,14,2015,0.89
Petrogale concinna,Diprotodontia,11.4,11,1407,0.91
Dactylopsila trivirgata,Diprotodontia,6.04,5.83,506,1.04
Thylogale thetis,Diprotodontia,19.89,19.2,3694,0.77
Macropus rufogriseus,Diprotodontia,38.15,36.82,12257.5,0.61
Petrogale penicillata,Diprotodontia,24.76,23.9,5990,0.67
Vombatus ursinus,Diprotodontia,61.12,59,27192,0.54
Macropus parryi,Diprotodontia,42.79,41.3,15194,0.58
Trichosurus vulpecula,Diprotodontia,11.4,11,1761,0.77
Macropus parma,Diprotodontia,17.4,16.8,3760,0.67
Petrogale persephone,Diprotodontia,22.27,21.5,5732,0.63
Dendrolagus inustus,Diprotodontia,31.18,30.1,10119,0.57
Macropus antilopinus,Diprotodontia,58.84,56.8,31286,0.47
Phalanger vestitus,Diprotodontia,9.88,9.54,1672,0.7
Macropus robustus,Diprotodontia,61.12,59,35540,0.44
Spilocuscus maculatus,Diprotodontia,13.88,13.4,3127,0.61
Cercartetus lepidus,Diprotodontia,0.37,0.36,7.8,1.44
Pseudocheirus peregrinus,Diprotodontia,5.78,5.58,759,0.73
Dorcopsis luctuosa,Diprotodontia,21.34,20.6,7392,0.5
Phalanger orientalis,Diprotodontia,8.61,8.31,1674,0.61
Phalanger carmelitae,Diprotodontia,8.8,8.49,1754,0.6
