Species Name ,Order,Brain Mass (g),Cranial Capacity (cc),Body Mass (g),EQ
Jaculus jaculus,Rodentia,1.53,1.48,64.2,1.22
Gerbillurus paeba,Rodentia,0.84,0.81,24,1.4
Gerbillus campestris,Rodentia,0.9,0.87,27.5,1.36
Gerbillus nanus,Rodentia,0.6,0.58,14,1.5
Melomys rubex,Rodentia,1.27,1.23,49.7,1.23
Ratufa indica,Rodentia,11.4,11,1935,0.72
Pogonomys sylvestris,Rodentia,1.13,1.09,41.2,1.26
Dipodomys merriami,Rodentia,1.1,1.06,39.4,1.27
Dipodomys panamintinus,Rodentia,1.6,1.54,74,1.15
Cavia porcellus,Rodentia,4.83,4.67,476,0.87
Microdipodops pallidus,Rodentia,0.55,0.53,12.9,1.46
Melomys rufescens,Rodentia,1.29,1.25,54.7,1.16
Dipodomys heermanni,Rodentia,1.44,1.39,65.65,1.13
Stenomys niobe,Rodentia,1.1,1.06,42.1,1.21
Ammospermophilus harrisii,Rodentia,2.24,2.16,138.8,1.01
Spermophilus beldingi,Rodentia,3.28,3.17,262.9,0.92
Microdipodops megacephalus,Rodentia,0.56,0.54,13.85,1.41
Spermophilus tridecemlineatus,Rodentia,2.38,2.29,156.4,0.98
Podomys floridanus,Rodentia,0.94,0.91,33.47,1.22
Dipodomys agilis,Rodentia,1.34,1.29,61.4,1.11
Paraxerus cepapi,Rodentia,2.85,2.75,216,0.92
Neotoma fuscipes,Rodentia,2.66,2.57,193.3,0.94
Castor canadensis,Rodentia,52.21,50.4,27670,0.45
Peromyscus grandis,Rodentia,1.53,1.48,77.32,1.07
Spermophilus beecheyi,Rodentia,5.12,4.94,587.5,0.79
Pseudomys australis,Rodentia,1.16,1.12,50,1.12
Peromyscus crinitus,Rodentia,0.53,0.51,13.56,1.35
Ototylomys phyllotis,Rodentia,1.33,1.28,63,1.08
Notomys alexis,Rodentia,0.96,0.93,37,1.16
Onychomys leucogaster,Rodentia,0.8,0.77,27.39,1.21
Cynomys ludovicianus,Rodentia,6.01,5.8,793.5,0.74
Neotoma floridana,Rodentia,3.04,2.93,257.7,0.86
Rattus lutreolus,Rodentia,1.64,1.58,92.7,1
Pogonomys macrourus,Rodentia,1.43,1.38,73.9,1.03
Peromyscus guatemalensis,Rodentia,1.16,1.12,52.83,1.07
Rattus nitidus,Rodentia,1.7,1.64,101,0.97
Rattus tunneyi,Rodentia,1.41,1.36,76.2,0.99
Spalacopus cyanus,Rodentia,1.58,1.53,93,0.96
Leopoldamys siporanus,Rodentia,3.39,3.27,332.7,0.8
Grammomys cometes,Rodentia,0.96,0.93,40.7,1.08
Tatera brantsii,Rodentia,1.56,1.51,91.7,0.96
Peromyscus truei,Rodentia,0.75,0.72,27.35,1.13
Clethrionomys gapperi,Rodentia,0.56,0.54,16.9,1.21
Melomys cervinipes,Rodentia,1.31,1.26,70,0.98
Massoutiera mzabi,Rodentia,2.32,2.24,182.6,0.85
Rattus morotaiensis,Rodentia,1.92,1.85,134.1,0.89
Spermophilus richardsonii,Rodentia,3.37,3.26,343.67,0.77
Dipodomys microps,Rodentia,1.22,1.17,62.8,0.99
Peromyscus mexicanus,Rodentia,1.02,0.98,46.55,1.03
Malacomys edwardsi,Rodentia,1.18,1.14,60,0.99
Peromyscus aztecus,Rodentia,0.92,0.89,39.73,1.05
Chiropodomys gliroides,Rodentia,0.7,0.68,25.3,1.12
Acomys wilsoni,Rodentia,0.58,0.56,18.5,1.17
Mystromys albicaudatus,Rodentia,1.39,1.34,80,0.94
Clethrionomys rutilus,Rodentia,0.56,0.54,17.6,1.18
Meriones unguiculatus,Rodentia,1.13,1.09,57.4,0.98
Zapus hudsonius,Rodentia,0.55,0.53,17.47,1.16
Onychomys torridus,Rodentia,0.59,0.57,20.02,1.14
Peromyscus yucatanicus,Rodentia,0.7,0.68,26.3,1.09
Praomys tullbergi,Rodentia,0.86,0.83,37.2,1.03
Spermophilus parryii,Rodentia,5.25,5.06,763.72,0.66
Pteromyscus pulverulentus,Rodentia,3.55,3.43,400,0.73
Dipodomys spectabilis,Rodentia,1.93,1.86,144.55,0.84
Gerbillus gleadowi,Rodentia,0.69,0.67,26.1,1.08
Peromyscus boylii,Rodentia,0.71,0.69,27.47,1.07
Dipodomys deserti,Rodentia,1.74,1.68,122.45,0.86
Spermophilus franklinii,Rodentia,3.82,3.69,455.5,0.71
Hybomys trivirgatus,Rodentia,1.1,1.06,57.5,0.96
Apodemus sylvaticus,Rodentia,0.59,0.56,20.1,1.11
Reithrodontomys megalotis,Rodentia,0.4,0.39,10.7,1.22
Lophuromys sikapusi,Rodentia,1.13,1.09,60.7,0.94
Microtus pennsylvanicus ,Rodentia,0.74,0.72,30.13,1.04
Peromyscus leucopus,Rodentia,0.6,0.58,21.21,1.1
Rattus sordidus,Rodentia,1.7,1.64,120.67,0.85
Peromyscus melanophrys,Rodentia,0.94,0.91,45,0.98
Cricetomys gambianus,Rodentia,6.57,6.34,1150,0.61
Micromys minutus,Rodentia,0.29,0.28,6.4,1.3
Tatera indica,Rodentia,1.84,1.78,139.7,0.82
Gerbillus pyramidum,Rodentia,0.88,0.85,40.9,0.99
Myoxus glis,Rodentia,1.9,1.83,148,0.82
Rattus fuscipes,Rodentia,1.69,1.63,122,0.84
Orthogeomys cherriei,Rodentia,3.47,3.35,405,0.7
Peromyscus californicus,Rodentia,0.91,0.88,43.53,0.97
Neofiber alleni,Rodentia,2.72,2.63,270.5,0.74
Perognathus longimembris,Rodentia,0.33,0.32,8.15,1.23
Cynomys gunnisoni,Rodentia,5.16,4.98,796.3,0.63
Oligoryzomys longicaudatus,Rodentia,0.67,0.65,26.6,1.03
Uranomys ruddi,Rodentia,0.77,0.74,33.6,1
Spermophilus undulatus,Rodentia,4.84,4.67,725.3,0.63
Arvicanthis niloticus,Rodentia,1.33,1.28,84.5,0.87
Liomys irroratus,Rodentia,1.06,1.02,57.7,0.92
Nyctomys sumichrasti,Rodentia,1.08,1.04,60,0.91
Clethrionomys glareolus,Rodentia,0.52,0.5,17.9,1.08
Chaetodipus baileyi,Rodentia,0.7,0.68,29.75,1
Peromyscus gossypinus,Rodentia,0.68,0.66,28.25,1
Microtus agrestis,Rodentia,0.74,0.71,32.4,0.98
Spermophilus columbianus,Rodentia,3.74,3.61,488.2,0.66
Orthogeomys hispidus,Rodentia,3.98,3.84,542.1,0.65
Peromyscus merriami,Rodentia,0.56,0.54,20.72,1.04
Cynomys leucurus,Rodentia,5.69,5.49,992.1,0.59
Peromyscus megalops,Rodentia,1.12,1.08,66.2,0.88
Orthogeomys heterodus,Rodentia,4.31,4.16,630,0.63
Peromyscus maniculatus,Rodentia,0.57,0.55,21.65,1.03
Zygogeomys trichopus,Rodentia,3.95,3.81,545,0.64
Peromyscus eremicus,Rodentia,0.54,0.52,19.93,1.03
Peromyscus melanocarpus,Rodentia,1.03,0.99,58.8,0.88
Isthmomys pirrensis,Rodentia,1.71,1.65,138,0.77
Peromyscus polionotus,Rodentia,0.42,0.41,13.32,1.09
Microtus townsendii,Rodentia,0.88,0.85,45.8,0.91
Chaetodipus fallax,Rodentia,0.54,0.52,20.3,1.02
Synaptomys cooperi,Rodentia,0.59,0.57,23.8,0.99
Perognathus parvus,Rodentia,0.49,0.47,17.3,1.04
Chaetodipus californicus,Rodentia,0.62,0.6,26,0.98
Spermophilus tereticaudus,Rodentia,1.82,1.76,156.6,0.75
Dinomys branickii,Rodentia,26.95,26.01,14000,0.39
Oryzomys palustris,Rodentia,0.88,0.85,47.1,0.89
Apodemus flavicollis,Rodentia,0.7,0.68,32.3,0.94
Pappogeomys gymnurus,Rodentia,4.19,4.04,637,0.6
Chaetodipus penicillatus,Rodentia,0.46,0.45,16.25,1.03
Chaetodipus formosus,Rodentia,0.49,0.48,18.1,1.01
Lophuromys flavopunctatus,Rodentia,1.01,0.97,60,0.85
Geocapromys ingrahami,Rodentia,4.46,4.31,717.3,0.59
Spermophilus townsendii,Rodentia,2.06,1.99,199,0.71
Pectinator spekei,Rodentia,1.93,1.86,180,0.72
Lemniscomys striatus,Rodentia,0.85,0.82,46.2,0.87
Perognathus flavus,Rodentia,0.31,0.29,8.4,1.11
Hydromys chrysogaster,Rodentia,4.33,4.18,698,0.58
Heteromys desmarestianus,Rodentia,1.13,1.09,74.65,0.81
Neotoma albigula,Rodentia,2.17,2.09,223.1,0.69
Lagostomus maximus,Rodentia,12.66,12.22,4270.75,0.44
Praomys morio,Rodentia,0.84,0.81,46.5,0.86
Myocastor coypus,Rodentia,17.09,16.5,7052,0.41
Holochilus sciureus,Rodentia,1.41,1.36,112.3,0.74
Neotoma cinerea,Rodentia,2.65,2.56,331.3,0.62
Microtus oregoni,Rodentia,0.52,0.5,22,0.93
Microtus pinetorum,Rodentia,0.56,0.54,24.9,0.91
Microtus californicus,Rodentia,0.78,0.75,43.3,0.84
Chaetodipus spinatus,Rodentia,0.48,0.46,19.1,0.94
Liomys pictus,Rodentia,0.77,0.75,43.35,0.83
Myomys daltoni,Rodentia,0.68,0.66,35,0.86
Geomys pinetis,Rodentia,2.51,2.42,313.5,0.61
Marmota monax,Rodentia,10.83,10.45,3624.75,0.43
Saccostomus campestris,Rodentia,0.82,0.79,49.35,0.8
Nannospalax ehrenbergi,Rodentia,1.88,1.81,197,0.65
Liomys salvini,Rodentia,0.77,0.74,44.9,0.8
Chaetodipus hispidus,Rodentia,0.68,0.66,37.1,0.82
Galea musteloides,Rodentia,2.72,2.63,375,0.58
Geomys bursarius,Rodentia,1.83,1.76,197.25,0.63
Rattus exulans,Rodentia,0.89,0.86,60.3,0.75
Thomomys talpoides,Rodentia,1.24,1.2,105.65,0.69
Microtus montanus,Rodentia,0.69,0.67,39.7,0.79
Rhabdomys pumilio,Rodentia,0.69,0.67,39.71,0.79
Arvicola terrestris,Rodentia,1.64,1.58,168.3,0.64
Neotoma micropus,Rodentia,2.66,2.57,378.3,0.57
Meriones hurrianae,Rodentia,0.97,0.94,71.3,0.72
Beamys hindei,Rodentia,1.11,1.07,89.75,0.69
Megadontomys thomasi,Rodentia,1.26,1.22,111,0.67
Cryptomys hottentotus,Rodentia,1.17,1.13,98.4,0.68
Ondatra zibethicus,Rodentia,5.03,4.86,1136.45,0.47
Microtus ochrogaster,Rodentia,0.71,0.69,43.8,0.76
Zapus princeps,Rodentia,0.5,0.48,24.5,0.82
Napaeozapus insignis,Rodentia,0.48,0.46,23.2,0.82
Cricetus cricetus,Rodentia,2.2,2.12,297,0.56
Aethomys chrysophilus,Rodentia,1.25,1.21,117,0.64
Aethomys hindei,Rodentia,1.42,1.37,146.3,0.61
Tachyoryctes splendens,Rodentia,1.88,1.81,234,0.57
Microtus arvalis,Rodentia,0.55,0.53,30.4,0.77
Otomys irroratus,Rodentia,1.38,1.33,141,0.61
Lagurus lagurus,Rodentia,0.42,0.41,20.1,0.8
Peromyscus melanotis,Rodentia,0.63,0.61,39.6,0.72
Thomomys bottae,Rodentia,1.47,1.42,162.95,0.59
Microtus longicaudus,Rodentia,0.7,0.68,47.4,0.7
Clethrionomys rufocanus,Rodentia,0.61,0.59,38.3,0.72
Mesembriomys gouldii,Rodentia,4.59,4.43,1110,0.44
Myopus schisticolor,Rodentia,0.56,0.54,33.5,0.73
Heliophobius argenteocinereus,Rodentia,1.43,1.38,160,0.58
Lemmus lemmus,Rodentia,0.86,0.83,68.9,0.65
Mus platythrix,Rodentia,0.5,0.48,29.2,0.72
Microtus guentheri,Rodentia,0.69,0.67,51.3,0.65
Aethomys namaquensis,Rodentia,0.89,0.86,79.4,0.61
Dicrostonyx torquatus,Rodentia,0.84,0.81,73,0.61
Marmota flaviventris,Rodentia,10.29,9.93,5000,0.32
Mus booduga,Rodentia,0.31,0.3,14.6,0.75
Sigmodon hispidus,Rodentia,1.14,1.1,132.5,0.53
Dicrostonyx groenlandicus,Rodentia,0.72,0.69,68.4,0.55
Bathyergus suillus,Rodentia,3.75,3.62,1175,0.34
Heterocephalus glaber,Rodentia,0.52,0.5,60.8,0.43
Otomys angoniensis,Rodentia,0.42,0.41,95,0.25
Apodemus agrarius,Rodentia,0.2,0.19,33.3,0.26
Tupaia minor,Scandentia,2.58,2.49,70,1.94
Urogale everetti,Scandentia,4.28,4.13,275,1.16
Tupaia glis,Scandentia,3.2,3.09,170,1.24
Trichechus manatus,Sirenia,364,351.35,756000,0.27
Myrmecophaga tridactyla,Xenarthra,84,81.08,18940,0.97
Tamandua tetradactyla,Xenarthra,27.5,26.54,4361,0.95
Bradypus tridactylus,Xenarthra,24.9,24.03,4097,0.9
Choloepus didactylus,Xenarthra,28.2,27.22,5070,0.87
Cabassous unicinctus,Xenarthra,23.68,22.86,3930,0.88
Euphractus sexcinctus,Xenarthra,33.5,32.34,7990,0.73
Choloepus hoffmanni,Xenarthra,24.54,23.68,5048,0.76
Bradypus variegatus,Xenarthra,16.03,15.48,3263,0.68
Dasypus novemcinctus,Xenarthra,8.5,8.2,2743.5,0.41
